4.959462e+01,1.794290e+01,3.668179e-03
1.208835e+01,3.836498e+01,8.346334e-03
4.015338e+01,2.800893e+01,5.152745e-03
3.581809e+01,2.400027e+01,8.515412e-03
3.302908e+01,3.616675e+01,5.997808e-03
1.460827e+01,1.887839e+01,8.631150e-03
3.593150e+01,2.278975e+01,2.532166e-03
3.554183e+01,1.924289e+01,8.125585e-03
2.816743e+01,3.997543e+01,3.752952e-03
1.040650e+01,2.716600e+01,6.812547e-03
4.056284e+01,4.155448e+01,3.002598e-03
4.474061e+01,3.279282e+01,5.355037e-03
3.021170e+01,2.822053e+01,7.754111e-03
4.695825e+01,2.476329e+01,4.934372e-03
2.343864e+01,3.400903e+01,5.893914e-03
3.625952e+01,4.140493e+01,9.838319e-03
1.496575e+01,5.103246e+00,3.223622e-03
4.213540e+01,3.548692e+01,8.817525e-03
4.806145e+01,4.070520e+01,8.122279e-03
1.275911e+01,1.117103e+01,9.579506e-03
2.247284e+01,3.812132e+01,8.678146e-03
2.675538e+01,1.910769e+01,9.094121e-03
1.030542e+01,2.760407e+01,5.264716e-03
4.050644e+01,3.485951e+01,7.063620e-03
4.617130e+01,2.831678e+01,9.864290e-03
2.918457e+01,3.436565e+01,2.741710e-03
