stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1593936478.414000,ZC16-OB1-16CH,R_HPC,1593936477.794000,gamma_max,EPI45,,彞,1.032000,,22.424197,2.000000,16.970473,16.970473,0.000000,0.000000,0.003784,0.003784,1.000000,standard,10
1593936482.843000,ZC16-OB1-16CH,R_HPC,1593936477.794000,gamma_max,EPI45,,彞,5.475000,,5.248467,2.000000,18.506641,18.506641,0.000000,0.000000,0.003409,0.003409,1.000000,standard,10
1593936486.522000,ZC16-OB1-16CH,R_HPC,1593936477.794000,gamma_max,EPI45,,彞,9.143000,,17.958066,2.000000,20.405710,20.405710,0.000000,0.000000,0.003648,0.003648,1.000000,standard,10
