2.031000, 1593722336.284000, 1.130012e-04
14.198000, 1593722341.464000, 4.366683e-03
19.227000, 1593722346.660000, 3.230006e-05
24.401000, 1593722352.028000, 1.487093e-04
29.787000, 1593722357.457000, 4.376664e-08
35.202000, 1593722362.841000, 7.581151e-08
45.869000, 1593722373.577000, 8.436050e-05
51.322000, 1593722379.054000, 6.101243e-05
56.831000, 1593722384.570000, 3.040382e-05
63.596000, 1593722391.309000, 2.260733e-03
70.095000, 1593722397.809000, 5.323739e-02
76.643000, 1593722406.170000, 9.195910e-02
