stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1593722325.711000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,2.031000,,25.234616,3.000000,10.569964,10.569964,0.000000,0.000000,0.004830,0.004830,1.000000,standard,10
1593722337.730000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,14.198000,,31.246499,3.000000,17.926260,17.926260,0.000000,0.000000,0.004019,0.004019,1.000000,standard,10
1593722341.920000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,19.227000,,22.367454,3.000000,16.376473,16.376473,0.000000,0.000000,0.001048,0.001048,1.000000,standard,10
1593722347.095000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,24.401000,,26.282718,3.000000,24.122691,24.122691,0.000000,0.000000,0.001239,0.001239,1.000000,standard,10
1593722352.552000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,29.787000,,15.977007,3.000000,7.348353,7.348353,0.000000,0.000000,0.002275,0.002275,1.000000,standard,10
1593722357.903000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,35.202000,,7.643482,3.000000,5.848623,5.848623,0.000000,0.000000,0.003087,0.003087,1.000000,standard,10
1593722363.261000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,40.580000,,9.462630,3.000000,14.640441,14.640441,0.000000,0.000000,0.003358,0.003358,1.000000,standard,10
1593722368.561000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,45.869000,,29.709811,3.000000,9.480801,9.480801,0.000000,0.000000,0.004378,0.004378,1.000000,standard,10
1593722374.018000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,51.322000,,24.332326,3.000000,19.420932,19.420932,0.000000,0.000000,0.004975,0.004975,1.000000,standard,10
1593722379.517000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,56.831000,,10.725837,3.000000,16.760521,16.760521,0.000000,0.000000,0.001799,0.001799,1.000000,standard,10
1593722386.311000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,63.596000,,30.721032,3.000000,15.771934,15.771934,0.000000,0.000000,0.002996,0.002996,1.000000,standard,10
1593722394.622000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,70.095000,,33.404040,3.000000,18.535354,18.535354,0.000000,0.000000,0.003869,0.003869,1.000000,standard,10
1593722401.273000,ZC16-OB1-16CH,R_HPC,1593722323.854000,gamma_max,EPI45,,彞,76.643000,,36.767677,3.000000,19.949495,19.949495,0.000000,0.000000,0.003869,0.003869,1.000000,standard,10
