stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1591563179.225000,ZC16-OB1-16CH,R_HPC,1591563177.462000,gamma_max,EPI45,,彞,1.955000,,5.248467,2.000000,18.506641,18.506641,0.000000,0.000000,0.003409,0.003409,1.000000,standard,10
1591563185.313000,ZC16-OB1-16CH,R_HPC,1591563177.462000,gamma_max,EPI45,,彞,8.260000,,7.352881,2.000000,7.193949,7.193949,0.000000,0.000000,0.002618,0.002618,1.000000,standard,10
1591563191.249000,ZC16-OB1-16CH,R_HPC,1591563177.462000,gamma_max,EPI45,,彞,14.141000,,23.321550,2.000000,18.573046,18.573046,0.000000,0.000000,0.001759,0.001759,1.000000,standard,10
