stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1593948540.750000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,0.984000,,6.196415,0.300000,18.111647,18.111647,0.000000,0.000000,0.003228,0.003228,1.000000,standard,10
1593948542.938000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,3.170000,,39.171574,0.300000,22.637984,22.637984,0.000000,0.000000,0.001051,0.001051,1.000000,standard,10
1593948544.848000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,5.083000,,40.948900,0.300000,23.664582,23.664582,0.000000,0.000000,0.002444,0.002444,1.000000,standard,10
1593948546.641000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,6.872000,,41.678356,0.300000,8.001934,8.001934,0.000000,0.000000,0.002708,0.002708,1.000000,standard,10
1593948548.468000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,8.701000,,33.953084,0.300000,5.100578,5.100578,0.000000,0.000000,0.004707,0.004707,1.000000,standard,10
1593948550.283000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,10.519000,,28.753974,0.300000,23.390844,23.390844,0.000000,0.000000,0.001421,0.001421,1.000000,standard,10
1593948552.116000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,12.354000,,39.140193,0.300000,9.381238,9.381238,0.000000,0.000000,0.002281,0.002281,1.000000,standard,10
1593948554.044000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,14.276000,,28.766549,0.300000,5.633786,5.633786,0.000000,0.000000,0.003267,0.003267,1.000000,standard,10
1593948556.033000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,16.261000,,11.904645,0.300000,5.256915,5.256915,0.000000,0.000000,0.002941,0.002941,1.000000,standard,10
1593948559.617000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,19.843000,,40.941445,0.300000,14.777145,14.777145,0.000000,0.000000,0.001450,0.001450,1.000000,standard,10
1593948564.479000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,22.875000,,42.000000,0.300000,25.000000,25.000000,0.000000,0.000000,0.002131,0.002131,1.000000,standard,10
1593948569.291000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,27.597000,,42.000000,0.300000,24.191919,24.191919,0.000000,0.000000,0.002899,0.002899,1.000000,standard,10
1593948574.136000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,32.449000,,42.000000,0.300000,24.797980,24.797980,0.000000,0.000000,0.001000,0.001000,1.000000,standard,10
1593948579.030000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,37.286000,,42.000000,0.300000,25.000000,25.000000,0.000000,0.000000,0.001000,0.001000,1.000000,standard,10
1593948589.627000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,45.559000,,42.000000,0.300000,25.000000,25.000000,0.000000,0.000000,0.001000,0.001000,1.000000,standard,10
1593948597.646000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,54.765000,,42.000000,0.300000,25.000000,25.000000,0.000000,0.000000,0.001000,0.001000,1.000000,standard,10
1593948604.484000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,61.897000,,42.000000,0.300000,22.171717,22.171717,0.000000,0.000000,0.001000,0.001000,1.000000,standard,10
1593948610.694000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,68.298000,,42.000000,0.300000,21.363636,21.363636,0.000000,0.000000,0.001000,0.001000,1.000000,standard,10
1593948616.553000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,74.338000,,42.000000,0.300000,20.555556,20.555556,0.000000,0.000000,0.001000,0.001000,1.000000,standard,10
1593948622.261000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,80.080000,,42.000000,0.300000,25.000000,25.000000,0.000000,0.000000,0.001323,0.001323,1.000000,standard,10
1593948628.062000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,85.889000,,42.000000,0.300000,25.000000,25.000000,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1593948634.518000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,91.882000,,27.424242,0.300000,25.000000,25.000000,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1593948641.152000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,98.702000,,15.464646,0.300000,25.000000,25.000000,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1593948650.215000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,106.222000,,8.737374,0.300000,25.000000,25.000000,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1593948657.855000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,114.837000,,5.000000,0.300000,25.000000,25.000000,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1593948664.753000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,121.987000,,19.202020,0.300000,25.000000,25.000000,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1593948671.279000,ZC16-OB1-16CH,R_HPC,1593948540.185000,gamma_max,EPI45,,彞,128.625000,,42.000000,0.300000,22.575758,22.575758,0.000000,0.000000,0.001000,0.001000,1.000000,standard,10
