stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1593947944.442000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,1.033000,,9.936975,0.900000,19.349392,19.349392,0.000000,0.000000,0.002783,0.002783,1.000000,standard,10
1593947948.312000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,4.836000,,9.935601,0.900000,22.616944,22.616944,0.000000,0.000000,0.001410,0.001410,1.000000,standard,10
1593947950.651000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,7.236000,,22.193878,0.900000,9.686057,9.686057,0.000000,0.000000,0.003478,0.003478,1.000000,standard,10
1593947953.088000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,9.657000,,22.845296,0.900000,23.785475,23.785475,0.000000,0.000000,0.003160,0.003160,1.000000,standard,10
1593947955.568000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,12.149000,,25.602730,0.900000,6.046104,6.046104,0.000000,0.000000,0.003848,0.003848,1.000000,standard,10
1593947958.084000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,14.670000,,33.841112,0.900000,17.307857,17.307857,0.000000,0.000000,0.004819,0.004819,1.000000,standard,10
1593947960.930000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,17.340000,,22.797353,0.900000,10.161928,10.161928,0.000000,0.000000,0.001909,0.001909,1.000000,standard,10
1593947964.319000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,20.126000,,12.961531,0.900000,18.012371,18.012371,0.000000,0.000000,0.001975,0.001975,1.000000,standard,10
1593947966.401000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,22.993000,,40.178045,0.900000,15.136668,15.136668,0.000000,0.000000,0.002578,0.002578,1.000000,standard,10
1593947969.028000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,25.636000,,20.604620,0.900000,22.261300,22.261300,0.000000,0.000000,0.002645,0.002645,1.000000,standard,10
1593947971.803000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,28.379000,,40.171519,0.900000,11.024112,11.024112,0.000000,0.000000,0.002843,0.002843,1.000000,standard,10
1593947974.962000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,31.549000,,14.305640,0.900000,12.702046,12.702046,0.000000,0.000000,0.001147,0.001147,1.000000,standard,10
1593947978.058000,ZC16-OB1-16CH,R_HPC,1593947943.839000,gamma_max,EPI45,,彞,34.642000,,25.218746,0.900000,18.113862,18.113862,0.000000,0.000000,0.002005,0.002005,1.000000,standard,10
