stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1591117307.311000,ZC16-OB1-16CH,R_HPC,1591117303.798000,gamma_max,EPI45,,彞,4.832000,,11.553579,5.000000,9.728899,9.728899,0.000000,0.000000,0.004319,0.004319,1.000000,standard,10
1591117349.437000,ZC16-OB1-16CH,R_HPC,1591117303.798000,gamma_max,EPI45,,彞,45.823000,,39.451130,5.000000,22.724701,22.724701,0.000000,0.000000,0.001763,0.001763,1.000000,standard,10
1591117376.728000,ZC16-OB1-16CH,R_HPC,1591117303.798000,gamma_max,EPI45,,彞,73.973000,,27.519511,5.000000,11.360382,11.360382,0.000000,0.000000,0.004641,0.004641,1.000000,standard,10
