stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1593941331.589000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,1.030000,,32.786459,1.000000,16.502697,16.502697,0.000000,0.000000,0.001614,0.001614,1.000000,standard,10
1593941335.648000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,5.081000,,5.510399,1.000000,14.022476,14.022476,0.000000,0.000000,0.002895,0.002895,1.000000,standard,10
1593941338.347000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,7.785000,,12.664849,1.000000,13.598306,13.598306,0.000000,0.000000,0.002294,0.002294,1.000000,standard,10
1593941341.163000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,10.609000,,23.552340,1.000000,22.798085,22.798085,0.000000,0.000000,0.002108,0.002108,1.000000,standard,10
1593941344.166000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,13.516000,,33.386945,1.000000,9.084713,9.084713,0.000000,0.000000,0.001280,0.001280,1.000000,standard,10
1593941347.239000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,16.656000,,30.440432,1.000000,11.190500,11.190500,0.000000,0.000000,0.004947,0.004947,1.000000,standard,10
1593941350.339000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,19.766000,,34.186457,1.000000,15.152044,15.152044,0.000000,0.000000,0.002892,0.002892,1.000000,standard,10
1593941355.115000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,24.540000,,29.040786,1.000000,24.907476,24.907476,0.000000,0.000000,0.003816,0.003816,1.000000,standard,10
1593941358.455000,ZC16-OB1-16CH,R_HPC,1593941331.013000,gamma_max,EPI45,,彞,27.893000,,25.839792,1.000000,6.685160,6.685160,0.000000,0.000000,0.003157,0.003157,1.000000,standard,10
