stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1593941013.415000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,1.197000,,24.149022,1.000000,8.576799,8.576799,0.000000,0.000000,0.003508,0.003508,1.000000,standard,10
1593941016.917000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,4.798000,,14.210026,1.000000,12.562969,12.562969,0.000000,0.000000,0.002011,0.002011,1.000000,standard,10
1593941019.628000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,7.497000,,12.566226,1.000000,20.812898,20.812898,0.000000,0.000000,0.003712,0.003712,1.000000,standard,10
1593941022.391000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,10.261000,,32.663479,1.000000,6.292815,6.292815,0.000000,0.000000,0.002682,0.002682,1.000000,standard,10
1593941025.158000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,13.033000,,7.508063,1.000000,14.889127,14.889127,0.000000,0.000000,0.004591,0.004591,1.000000,standard,10
1593941028.157000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,16.024000,,18.741007,1.000000,18.607900,18.607900,0.000000,0.000000,0.001313,0.001313,1.000000,standard,10
1593941031.116000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,18.989000,,21.754430,1.000000,7.640776,7.640776,0.000000,0.000000,0.003609,0.003609,1.000000,standard,10
1593941034.130000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,22.005000,,14.983030,1.000000,14.792388,14.792388,0.000000,0.000000,0.004959,0.004959,1.000000,standard,10
1593941037.184000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,25.074000,,37.764285,1.000000,12.917419,12.917419,0.000000,0.000000,0.001085,0.001085,1.000000,standard,10
1593941041.445000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,29.334000,,9.191229,1.000000,22.470729,22.470729,0.000000,0.000000,0.002418,0.002418,1.000000,standard,10
1593941091.388000,ZC16-OB1-16CH,R_HPC,1593941012.646000,gamma_max,EPI45,,彞,33.493000,,27.531574,1.000000,6.083777,6.083777,0.000000,0.000000,0.004109,0.004109,1.000000,standard,10
