stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1591563618.339000,ZC16-OB1-16CH,R_HPC,1591563616.432000,gamma_max,EPI45,,彞,2.486000,,29.262406,2.990000,24.189849,24.189849,0.000000,0.000000,0.001143,0.001143,1.000000,standard,10
1591563628.661000,ZC16-OB1-16CH,R_HPC,1591563616.432000,gamma_max,EPI45,,彞,12.118000,,7.892495,2.990000,24.922694,24.922694,0.000000,0.000000,0.002771,0.002771,1.000000,standard,10
1591563636.175000,ZC16-OB1-16CH,R_HPC,1591563616.432000,gamma_max,EPI45,,彞,20.217000,,23.898548,2.990000,15.170173,15.170173,0.000000,0.000000,0.004271,0.004271,1.000000,standard,10
