stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency,train_frequency,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_a,stimulation_pulse_width_b,stimulation_gap,stimulation_synchronicity,stimulation_type,stimulation_channel_order
1475595477.820000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,2.383585,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595481.002000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,5.573345,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595484.513000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,9.065431,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595488.008000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,12.553052,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595491.518000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,16.072663,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595495.012000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,19.551764,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595497.992000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,22.548521,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595501.018000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,25.557279,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595504.996000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,29.568492,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595508.490000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,33.062789,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595512.001000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,36.567736,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595515.496000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,40.061460,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595518.990000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,43.577303,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595522.500000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,47.071068,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595526.010000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,50.565284,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595529.507000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,54.061015,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475595532.985000,ZC16-OB1,HPC,1475595476.135000,synchronousDEBUG,048,TempBlk,2.441406e+04,57.491415,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
