stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1593762086.064000,ZC16-OB1-16CH,R_HPC,1593762085.363000,gamma_max,EPI45,,彞,1.058000,,31.726895,3.000000,24.018304,24.018304,0.000000,0.000000,0.002600,0.002600,1.000000,standard,10
1593762092.911000,ZC16-OB1-16CH,R_HPC,1593762085.363000,gamma_max,EPI45,,彞,7.726000,,35.864995,3.000000,9.573752,9.573752,0.000000,0.000000,0.001063,0.001063,1.000000,standard,10
1593762100.099000,ZC16-OB1-16CH,R_HPC,1593762085.363000,gamma_max,EPI45,,彞,15.101000,,16.106823,3.000000,13.876917,13.876917,0.000000,0.000000,0.002606,0.002606,1.000000,standard,10
