stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1593725540.298000,ZC16-OB1-16CH,R_HPC,1593725539.688000,gamma_max,EPI45,,彞,0.964000,,27.491039,3.000000,11.751677,11.751677,0.000000,0.000000,0.003965,0.003965,1.000000,standard,10
1593725545.899000,ZC16-OB1-16CH,R_HPC,1593725539.688000,gamma_max,EPI45,,彞,6.582000,,19.652250,3.000000,20.379165,20.379165,0.000000,0.000000,0.002092,0.002092,1.000000,standard,10
1593725551.203000,ZC16-OB1-16CH,R_HPC,1593725539.688000,gamma_max,EPI45,,彞,11.897000,,18.305434,3.000000,13.452913,13.452913,0.000000,0.000000,0.003233,0.003233,1.000000,standard,10
