stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1591121267.422000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,1.945000,,15.397196,5.000000,8.073134,8.073134,0.000000,0.000000,0.002760,0.002760,1.000000,standard,10
1591121287.714000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,22.080000,,13.471270,5.000000,16.035571,16.035571,0.000000,0.000000,0.003568,0.003568,1.000000,standard,10
1591121306.036000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,40.573000,,8.103320,5.000000,5.385150,5.385150,0.000000,0.000000,0.004899,0.004899,1.000000,standard,10
1591121324.534000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,59.049000,,15.109018,5.000000,12.813351,12.813351,0.000000,0.000000,0.001608,0.001608,1.000000,standard,10
1591121342.987000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,77.500000,,20.912570,5.000000,12.090125,12.090125,0.000000,0.000000,0.003289,0.003289,1.000000,standard,10
1591121361.663000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,96.178000,,23.092538,5.000000,12.162567,12.162567,0.000000,0.000000,0.002024,0.002024,1.000000,standard,10
1591121380.020000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,114.549000,,10.282239,5.000000,16.756413,16.756413,0.000000,0.000000,0.001209,0.001209,1.000000,standard,10
1591121398.492000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,132.993000,,31.689096,5.000000,15.241733,15.241733,0.000000,0.000000,0.004715,0.004715,1.000000,standard,10
1591121416.866000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,151.374000,,29.982072,5.000000,17.345416,17.345416,0.000000,0.000000,0.003404,0.003404,1.000000,standard,10
1591121436.309000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,170.835000,,12.715328,5.000000,11.996161,11.996161,0.000000,0.000000,0.003663,0.003663,1.000000,standard,10
1591121460.114000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,192.561000,,32.282828,5.000000,15.101010,15.101010,0.000000,0.000000,0.004919,0.004919,1.000000,standard,10
1591121479.363000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,212.131000,,34.151515,5.000000,14.696970,14.696970,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1591121500.240000,ZC16-OB1-16CH,R_HPC,1591121265.868000,gamma_max,EPI45,,彞,231.631000,,38.636364,5.000000,13.686869,13.686869,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
