2.126930, 1479482070.944000, 6.665158e-02
6.074450, 1479482074.844000, 4.429376e-02
10.114908, 1479482078.869000, 9.023393e-02
14.153605, 1479482082.849000, 1.518097e-01
18.088632, 1479482086.858000, 9.477477e-02
22.064824, 1479482090.914000, 1.251622e-01
26.113966, 1479482094.830000, 9.729819e-02
30.166794, 1479482098.870000, 5.702205e-02
34.134344, 1479482102.895000, 1.749304e-01
38.085673, 1479482106.920000, 9.996586e-02
42.125025, 1479482110.866000, 8.011493e-02
46.136033, 1479482114.829000, 1.145460e-01
50.064220, 1479482118.854000, 8.293561e-02
54.124749, 1479482122.847000, 1.146207e-01
58.047242, 1479482126.825000, 8.051998e-02
62.106542, 1479482130.865000, 9.781779e-02
66.133402, 1479482134.843000, 1.477176e-01
70.068511, 1479482138.837000, 9.693920e-02
74.198221, 1479482142.846000, 9.722816e-02
78.145823, 1479482146.840000, 8.988913e-02
92.438446, 1479482161.351000, 8.959269e-02
103.115940, 1479482171.836000, 5.496860e-02
113.975788, 1479482182.865000, 1.285098e-01
125.651026, 1479482194.347000, 1.291390e-01
135.999939, 1479482204.923000, 1.136714e-01
146.730680, 1479482215.353000, 1.016150e-01
158.114488, 1479482226.882000, 9.237055e-02
170.105528, 1479482238.925000, 1.418192e-01
182.131630, 1479482250.828000, 5.966830e-02
192.316375, 1479482261.351000, 1.190438e-01
203.259740, 1479482271.881000, 6.502803e-02
213.633311, 1479482282.380000, 1.483430e-01
225.250714, 1479482293.846000, 2.554799e-01
235.511194, 1479482304.409000, 1.063462e-01
246.851379, 1479482315.875000, 7.348473e-02
257.895137, 1479482326.889000, 1.079021e-01
269.141975, 1479482337.873000, 1.149076e-01
280.408187, 1479482349.355000, 1.019683e-01
290.926387, 1479482359.932000, 1.830576e-01
301.848084, 1479482370.898000, 9.109653e-02
312.172093, 1479482380.892000, 2.590885e-01
320.453591, 1479482389.362000, 5.455128e-02
329.206743, 1479482397.880000, 7.891551e-02
337.797980, 1479482406.897000, 1.228282e-01
346.341704, 1479482415.352000, 9.230065e-02
355.389727, 1479482424.346000, 1.007234e-01
364.798034, 1479482433.878000, 1.180896e-01
374.298378, 1479482443.347000, 1.323832e-01
383.770051, 1479482452.395000, 1.112018e-01
392.986460, 1479482461.864000, 1.629816e-01
402.708480, 1479482471.358000, 1.538995e-01
412.756132, 1479482481.357000, 1.042684e-01
422.537912, 1479482491.357000, 1.804042e-01
431.938847, 1479482500.858000, 1.081053e-01
441.894216, 1479482510.890000, 7.527498e-02
451.960545, 1479482520.874000, 1.050746e-01
461.902561, 1479482530.936000, 1.103834e-01
472.135926, 1479482540.842000, 7.325520e-02
481.426514, 1479482550.376000, 6.910342e-02
491.035116, 1479482559.908000, 1.111786e-01
500.996710, 1479482569.907000, 1.012972e-01
510.959780, 1479482579.876000, 1.016184e-01
521.147843, 1479482589.906000, 1.063107e-01
531.235717, 1479482599.902000, 7.712592e-02
541.154140, 1479482609.855000, 1.133839e-01
552.728781, 1479482621.368000, 6.419435e-02
561.991066, 1479482630.869000, 9.045438e-02
572.468265, 1479482641.377000, 4.009312e-02
582.144287, 1479482650.877000, 7.434178e-02
592.143237, 1479482660.861000, 1.194015e-01
601.855672, 1479482670.861000, 1.053650e-01
612.026450, 1479482680.869000, 6.224926e-02
622.971085, 1479482691.821000, 1.512514e-01
633.303532, 1479482702.351000, 6.682195e-02
643.350856, 1479482712.335000, 1.144937e-01
654.050632, 1479482722.851000, 9.973115e-02
664.125399, 1479482732.882000, 6.035846e-02
674.206474, 1479482742.819000, 1.199244e-01
683.905966, 1479482752.944000, 1.297929e-01
694.032507, 1479482762.836000, 1.317248e-01
704.604242, 1479482773.382000, 1.042496e-01
714.342195, 1479482783.412000, 1.310522e-01
724.829348, 1479482793.896000, 6.319881e-02
