stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1590664241.743000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,2.650000,,34.311671,5.000000,23.314711,23.314711,0.000000,0.000000,0.004838,0.004838,1.000000,standard,10
1590664255.438000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,16.038000,,11.789913,5.000000,18.735509,18.735509,0.000000,0.000000,0.002474,0.002474,1.000000,standard,10
1590664264.506000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,25.561000,,23.118443,5.000000,8.962368,8.962368,0.000000,0.000000,0.002358,0.002358,1.000000,standard,10
1590664273.945000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,34.996000,,31.678725,5.000000,15.877719,15.877719,0.000000,0.000000,0.003090,0.003090,1.000000,standard,10
1590664283.423000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,44.451000,,36.780736,5.000000,24.687966,24.687966,0.000000,0.000000,0.004142,0.004142,1.000000,standard,10
1590664292.717000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,53.808000,,6.377681,5.000000,10.458776,10.458776,0.000000,0.000000,0.003693,0.003693,1.000000,standard,10
1590664302.179000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,63.195000,,19.203138,5.000000,18.212336,18.212336,0.000000,0.000000,0.003509,0.003509,1.000000,standard,10
1590664312.947000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,74.016000,,11.742418,5.000000,7.157778,7.157778,0.000000,0.000000,0.001396,0.001396,1.000000,standard,10
1590664322.917000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,83.946000,,41.293435,5.000000,23.788194,23.788194,0.000000,0.000000,0.002146,0.002146,1.000000,standard,10
1590664335.288000,ZC16-OB1-16CH,R_HPC,1590664239.745000,gamma_max,EPI45,,彞,95.218000,,9.520999,5.000000,16.432315,16.432315,0.000000,0.000000,0.003685,0.003685,1.000000,standard,10
