stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1591117105.379000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,1.111000,,6.396338,0.500000,24.759640,24.759640,0.000000,0.000000,0.004541,0.004541,1.000000,standard,10
1591117109.444000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,3.437000,,17.364033,0.500000,22.818450,22.818450,0.000000,0.000000,0.003795,0.003795,1.000000,standard,10
1591117111.395000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,7.080000,,22.757119,0.500000,15.000449,15.000449,0.000000,0.000000,0.004619,0.004619,1.000000,standard,10
1591117113.364000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,9.112000,,31.369695,0.500000,24.573613,24.573613,0.000000,0.000000,0.003002,0.003002,1.000000,standard,10
1591117115.477000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,11.239000,,21.790515,0.500000,21.006612,21.006612,0.000000,0.000000,0.002730,0.002730,1.000000,standard,10
1591117117.599000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,13.349000,,41.410358,0.500000,5.309743,5.309743,0.000000,0.000000,0.001669,0.001669,1.000000,standard,10
1591117119.814000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,15.570000,,30.940654,0.500000,11.029099,11.029099,0.000000,0.000000,0.003665,0.003665,1.000000,standard,10
1591117122.037000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,17.793000,,28.856288,0.500000,22.110456,22.110456,0.000000,0.000000,0.002505,0.002505,1.000000,standard,10
1591117124.266000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,20.025000,,26.610565,0.500000,11.877540,11.877540,0.000000,0.000000,0.001431,0.001431,1.000000,standard,10
1591117126.598000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,22.348000,,28.625638,0.500000,18.997757,18.997757,0.000000,0.000000,0.001134,0.001134,1.000000,standard,10
1591117128.921000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,24.685000,,10.685299,0.500000,10.329430,10.329430,0.000000,0.000000,0.002124,0.002124,1.000000,standard,10
1591117131.294000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,27.052000,,29.709811,0.500000,9.480801,9.480801,0.000000,0.000000,0.004378,0.004378,1.000000,standard,10
1591117133.741000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,29.496000,,10.650684,0.500000,14.469720,14.469720,0.000000,0.000000,0.002364,0.002364,1.000000,standard,10
1591117136.197000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,31.951000,,30.123620,0.500000,17.952353,17.952353,0.000000,0.000000,0.003543,0.003543,1.000000,standard,10
1591117138.696000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,34.453000,,27.698047,0.500000,10.128820,10.128820,0.000000,0.000000,0.003329,0.003329,1.000000,standard,10
1591117141.260000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,37.000000,,8.914536,0.500000,9.373533,9.373533,0.000000,0.000000,0.001439,0.001439,1.000000,standard,10
1591117143.865000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,39.617000,,22.939573,0.500000,22.222796,22.222796,0.000000,0.000000,0.002574,0.002574,1.000000,standard,10
1591117146.596000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,42.343000,,30.286387,0.500000,12.894150,12.894150,0.000000,0.000000,0.003816,0.003816,1.000000,standard,10
1591117151.887000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,47.610000,,19.681286,0.500000,20.382288,20.382288,0.000000,0.000000,0.004234,0.004234,1.000000,standard,10
1591117155.783000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,51.507000,,33.447607,0.500000,21.670012,21.670012,0.000000,0.000000,0.001669,0.001669,1.000000,standard,10
1591117159.269000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,55.008000,,34.228632,0.500000,21.511676,21.511676,0.000000,0.000000,0.002274,0.002274,1.000000,standard,10
1591117162.700000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,58.439000,,39.395528,0.500000,16.211191,16.211191,0.000000,0.000000,0.003787,0.003787,1.000000,standard,10
1591117165.732000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,61.478000,,26.262465,0.500000,23.017050,23.017050,0.000000,0.000000,0.004381,0.004381,1.000000,standard,10
1591117168.695000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,64.443000,,26.463344,0.500000,23.566261,23.566261,0.000000,0.000000,0.001068,0.001068,1.000000,standard,10
1591117171.524000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,67.271000,,9.554099,0.500000,8.850208,8.850208,0.000000,0.000000,0.001822,0.001822,1.000000,standard,10
1591117174.294000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,70.050000,,12.713070,0.500000,10.405887,10.405887,0.000000,0.000000,0.003260,0.003260,1.000000,standard,10
1591117177.010000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,72.765000,,36.836301,0.500000,6.268090,6.268090,0.000000,0.000000,0.004738,0.004738,1.000000,standard,10
1591117179.708000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,75.465000,,36.161645,0.500000,5.504564,5.504564,0.000000,0.000000,0.003236,0.003236,1.000000,standard,10
1591117182.338000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,78.085000,,35.273549,0.500000,20.279142,20.279142,0.000000,0.000000,0.001401,0.001401,1.000000,standard,10
1591117185.262000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,80.986000,,25.788873,0.500000,19.725349,19.725349,0.000000,0.000000,0.001737,0.001737,1.000000,standard,10
1591117189.189000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,84.913000,,21.343716,0.500000,6.075088,6.075088,0.000000,0.000000,0.001053,0.001053,1.000000,standard,10
1591117192.454000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,88.183000,,7.295673,0.500000,10.946936,10.946936,0.000000,0.000000,0.002193,0.002193,1.000000,standard,10
1591117196.071000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,91.813000,,15.877003,0.500000,11.761954,11.761954,0.000000,0.000000,0.003985,0.003985,1.000000,standard,10
1591117199.051000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,94.799000,,33.866495,0.500000,6.231813,6.231813,0.000000,0.000000,0.002350,0.002350,1.000000,standard,10
1591117201.942000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,97.695000,,9.887069,0.500000,18.674311,18.674311,0.000000,0.000000,0.003891,0.003891,1.000000,standard,10
1591117204.712000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,100.459000,,30.346053,0.500000,12.383976,12.383976,0.000000,0.000000,0.003392,0.003392,1.000000,standard,10
1591117207.420000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,103.174000,,13.782802,0.500000,10.881327,10.881327,0.000000,0.000000,0.003123,0.003123,1.000000,standard,10
1591117210.116000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,105.863000,,11.936050,0.500000,23.675197,23.675197,0.000000,0.000000,0.002065,0.002065,1.000000,standard,10
1591117214.716000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,110.440000,,16.685023,0.500000,6.188066,6.188066,0.000000,0.000000,0.004091,0.004091,1.000000,standard,10
1591117218.384000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,114.118000,,9.969222,0.500000,7.529997,7.529997,0.000000,0.000000,0.001394,0.001394,1.000000,standard,10
1591117221.808000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,117.541000,,12.845141,0.500000,8.688673,8.688673,0.000000,0.000000,0.001309,0.001309,1.000000,standard,10
1591117224.938000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,120.683000,,19.888368,0.500000,18.681921,18.681921,0.000000,0.000000,0.004931,0.004931,1.000000,standard,10
1591117228.547000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,124.295000,,17.406519,0.500000,16.949804,16.949804,0.000000,0.000000,0.002197,0.002197,1.000000,standard,10
1591117231.386000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,127.141000,,21.941794,0.500000,23.714617,23.714617,0.000000,0.000000,0.001962,0.001962,1.000000,standard,10
1591117234.161000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,129.908000,,24.112654,0.500000,22.887788,22.887788,0.000000,0.000000,0.003811,0.003811,1.000000,standard,10
1591117236.877000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,132.631000,,14.449309,0.500000,8.614755,8.614755,0.000000,0.000000,0.001082,0.001082,1.000000,standard,10
1591117239.589000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,135.340000,,28.756251,0.500000,19.304250,19.304250,0.000000,0.000000,0.002676,0.002676,1.000000,standard,10
1591117242.210000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,137.965000,,13.294345,0.500000,24.940065,24.940065,0.000000,0.000000,0.003610,0.003610,1.000000,standard,10
1591117245.124000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,140.848000,,39.209493,0.500000,10.306441,10.306441,0.000000,0.000000,0.001895,0.001895,1.000000,standard,10
1591117248.831000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,144.560000,,28.211821,0.500000,12.677372,12.677372,0.000000,0.000000,0.001087,0.001087,1.000000,standard,10
1591117252.233000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,147.966000,,21.710635,0.500000,9.972579,9.972579,0.000000,0.000000,0.001911,0.001911,1.000000,standard,10
1591117255.410000,ZC16-OB1-16CH,R_HPC,1591117104.694000,gamma_max,EPI45,,彞,151.157000,,24.763090,0.500000,20.674730,20.674730,0.000000,0.000000,0.004541,0.004541,1.000000,standard,10
